sku,name,category,product_url,short_description,material,size,thread,compatible_model,package,moq,lead_time,application,quotation_note
AF-TIG-CL-0009,TIG Collet,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-collet,"TIG Collet for TIG tungsten holding and collet replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper material - specific grade to be confirmed,"Catalog references include 25, 29, 40, 50 and 66.5 mm lengths with multiple tungsten bores",Not applicable; select by collet length and tungsten bore,"Bore and length options vary by 9/20, 17/18/26 or 27 series; confirm with the matching collet body",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG tungsten holding and collet replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-CB-0005,TIG Collet Body,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-collet-body,"TIG Collet Body for TIG torch-head assembly and collet body replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper material - specific grade to be confirmed,"22, 24 and 47 mm body-length references are shown for different torch families","Catalog references include 3/8-24 UNF, 5/16-24 UNF, 7/16-16 and 3/8-32 UNF interfaces; confirm the required family","Select torch series, tungsten bore, thread and cup arrangement together; confirm by sample or drawing",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG torch-head assembly and collet body replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-GL-0010,TIG Gas Lens 1.6mm,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-gas-lens-1-6mm,"TIG Gas Lens 1.6mm for TIG shielding gas distribution and gas lens replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper or brass material - exact grade to be confirmed,1.6 mm bore,9/16-18 UNF and 5/16-24 UNF catalog references; confirm the required gas-lens family,"9/20, 17/18/26 and 27 series options are referenced in the company catalog; confirm the exact family",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG shielding gas distribution and gas lens replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-BC-0011,TIG Back Cap,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-back-cap,"TIG Back Cap for TIG torch-head maintenance and back cap replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG torch-head maintenance and back cap replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-TE-0012,TIG Tungsten Electrode,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-tungsten-electrode,"TIG Tungsten Electrode for TIG arc welding and tungsten electrode supply. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG arc welding and tungsten electrode supply,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-EL-0007,Plasma Electrode,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-electrode,"Plasma Electrode for plasma cutting torch maintenance and electrode replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material and insert construction available by selected torch family,Family-specific electrode geometry; no universal size,Interface varies by torch family; confirm by sample or drawing,"Company catalog supply range includes SP-60, A-81, PT-31, CB-50, LT-50, AG-60, TongChang60 and SG-51 families; this is not a universal-fit claim",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,plasma cutting torch maintenance and electrode replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-NZ-0008,Plasma Nozzle,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-nozzle,"Plasma Nozzle for plasma arc control and cutting nozzle replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material and finish available by selected torch family,Family-specific nozzle geometry and orifice; no universal size,Interface varies by torch family; confirm by sample or drawing,"Company catalog supply range includes SP-60, A-81, PT-31, CB-50, LT-50, AG-60, TongChang60 and SG-51 families; P80 nozzle references are also listed separately",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,plasma arc control and cutting nozzle replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-SR-0009,Plasma Swirl Ring,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-swirl-ring,"Plasma Swirl Ring for plasma gas flow control and swirl ring replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Ceramic option shown for PT-31; material for other torch families is available by model,"Model-specific for A-81, PT-31 and CB-50 reference families",Interface varies by torch family; confirm by sample or drawing,"A-81, PT-31 and CB-50 reference families; confirm by sample or torch model",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,plasma gas flow control and swirl ring replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-SH-0010,Plasma Shield,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-shield,"Plasma Shield for plasma torch front-end protection and shield replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,plasma torch front-end protection and shield replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-CT-0012,Plasma Cutting Tip,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-cutting-tip,"Plasma Cutting Tip for plasma cutting tip replacement and torch maintenance. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,plasma cutting tip replacement and torch maintenance,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-TS-0013,Plasma Torch Spacer,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-torch-spacer,"Plasma Torch Spacer for plasma torch positioning and spacer replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Metal stand-off guide shown in the company catalog; alloy and finish available by model,A-81 stand-off guide reference; dimensions require model confirmation,Clip-on stand-off guide format shown for A-81; confirm the exact interface,A-81 reference family; confirm by sample or torch model,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,Maintaining torch stand-off during manual plasma cutting,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-CON-EH-0010,Electrode Holder,Welding Consumables,https://www.arcfortweld.com/products/welding-consumables/electrode-holder,"Electrode Holder for MMA or stick welding electrode holding. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MMA or stick welding electrode holding,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-CON-EL-0011,Welding Electrode,Welding Consumables,https://www.arcfortweld.com/products/welding-consumables/welding-electrode,"Welding Electrode for MMA or stick welding consumable supply. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MMA or stick welding consumable supply,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-CON-WW-0012,Welding Wire,Welding Consumables,https://www.arcfortweld.com/products/welding-consumables/welding-wire,"Welding Wire for MIG/MAG and wire-feed welding consumable supply. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG and wire-feed welding consumable supply,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-GC-0011,Ground Clamp,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/ground-clamp,"Ground Clamp for welding work-return connection and workshop replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,welding work-return connection and workshop replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-CC-0012,Welding Cable Connector,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/welding-cable-connector,"Welding Cable Connector for welding cable assembly and equipment connection. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,welding cable assembly and equipment connection,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-WC-0013,Welding Cable,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/welding-cable,"Welding Cable for welding power cable assembly and workshop replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,welding power cable assembly and workshop replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-DC-0014,Dinse Connector,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/dinse-connector,"Dinse Connector for welding cable connection and equipment maintenance. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Contact us for details,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,welding cable connection and equipment maintenance,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-MT-0031,MIG/MAG Welding Torch,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-mag-welding-torch,"MIG/MAG Welding Torch for MIG/MAG welding torch assembly and repair replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG welding torch assembly and repair replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-MS-0032,MIG Torch Switch,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-torch-switch,"MIG Torch Switch for MIG/MAG torch control repair and switch replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Not applicable,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch control repair and switch replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MAC-WF-0033,Wire Feeder,Welding Machines,https://www.arcfortweld.com/products/welding-machines/wire-feeder,"Industrial MIG/MAG wire feeder for distributor, equipment supplier and repair programs. Configuration is reviewed against the power source, wire requirement, torch interface and control connection before quotation.",Available upon request,Available upon request,Not applicable,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG wire delivery and welding equipment supply,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-PLA-PT-0034,Plasma Cutting Torch,Plasma Cutting Consumables,https://www.arcfortweld.com/products/plasma-cutting-consumables/plasma-cutting-torch,"Plasma Cutting Torch for plasma cutting torch assembly and maintenance replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,plasma cutting torch assembly and maintenance replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-TT-0035,TIG Welding Torch,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-welding-torch,"TIG Welding Torch for TIG welding torch assembly and repair replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG welding torch assembly and repair replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MAC-SG-0037,Stud Welding Gun,Welding Machines,https://www.arcfortweld.com/products/welding-machines/stud-welding-gun,"Stud Welding Gun for stud welding equipment supply and maintenance replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Not applicable,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,stud welding equipment supply and maintenance replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-SA-0038,Stud Welding Accessories,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/stud-welding-accessories,"Stud Welding Accessories for stud welding setup, maintenance and replacement accessory supply. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,"stud welding setup, maintenance and replacement accessory supply","Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-RT-0039,Robotic MIG/MAG Welding Torch Front End,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/robot-welding-torch,"Robotic MIG/MAG welding torch front-end and replacement component supply for automated welding cell maintenance. Match by installed torch reference, interface drawing, consumable stack and current-part evidence before quotation.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,robotic MIG/MAG welding torch front-end replacement and automated welding cell maintenance,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-CON-SE-0040,Spot Welding Electrode,Welding Consumables,https://www.arcfortweld.com/products/welding-consumables/spot-welding-electrode,"Spot Welding Electrode for resistance spot welding electrode replacement and maintenance. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper material - specific grade to be confirmed,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,resistance spot welding electrode replacement and maintenance,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-FA-0041,Wire Feeder Accessories,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/wire-feeder-accessories,"Wire Feeder Accessories for wire feeder maintenance and replacement accessory supply. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,wire feeder maintenance and replacement accessory supply,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-PC-0042,Welding Protective Cover,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/welding-protective-cover,"Welding Protective Cover for welding equipment, cable and workshop protection. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Not applicable,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,"welding equipment, cable and workshop protection","Final quotation depends on confirmed model, quantity, packaging and destination."
AF-ACC-FM-0043,CO2 Flowmeter,Welding Accessories,https://www.arcfortweld.com/products/welding-accessories/co2-flowmeter,"CO2 Flowmeter for CO2 shielding gas flow control for welding workshop supply. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,CO2 shielding gas flow control for welding workshop supply,"Final quotation depends on confirmed model, quantity, packaging and destination."
